88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,1.60457,0.388691,-0.0683001,-0.815048;211,1.22954,0.59532,0.0633719,-1.06484;111,0.375028,-0.206629,-0.131672,0.249788;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,24.6632,-17.3072,17.451,1.53991;111,9.46959,-6.36898,7.00582,0.0977734;211,15.1936,-10.9382,10.4452,1.44214;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,3.86058,-2.04407,2.23629,-0.240729;111,0.535529,0.0279639,-0.357003,-0.374618;-211,3.32505,-2.07204,2.5933,0.133889;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,16.4855,-11.5577,11.6978,0.922178;-211,7.67031,-5.59609,5.21821,0.517799;211,8.81522,-5.96159,6.47955,0.404379;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,42.993,29.9067,-30.7799,-0.483571;111,42.8202,29.8113,-30.7341,-0.50456;111,0.172776,0.0953574,-0.0458159,0.0209893;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,1.59308,0.61357,-0.536912,-0.922739;-211,0.791514,0.211659,-0.702222,-0.262867;111,0.801568,0.401912,0.16531,-0.659873;|
88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,6.01837,0.49795,4.19409,2.96548;111,4.52308,1.11594,2.88165,3.30013;-211,1.49529,-0.617995,1.31245,-0.334644;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,24.5028,-15.5595,13.7946,12.6795;211,13.3701,-9.41954,7.36653,5.97884;-211,11.1327,-6.13996,6.42807,6.70066;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,16.1023,-10.0507,9.07268,8.47098;111,1.73496,-0.6329,1.39201,0.808459;211,14.3673,-9.41775,7.68067,7.66252;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,3.29351,1.85286,-1.94429,-1.7501;211,0.550145,0.326081,-0.415411,-0.0654506;-211,2.74337,1.52678,-1.52888,-1.68465;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,32.5956,18.3704,-20.1548,-17.8418;-211,19.714,10.9139,-12.1701,-11.0181;211,12.8816,7.4565,-7.98468,-6.82366;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,8.68736,4.88898,-4.9623,-4.52407;211,7.3038,4.63725,-3.62403,-4.323;-211,1.38356,0.25173,-1.33827,-0.201069;|
88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,20.2633,12.4013,0.0186932,15.8659;211,17.649,10.2883,-0.118016,14.3389;-211,2.61435,2.11304,0.136709,1.527;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,3.19025,1.77584,-0.963815,2.12647;111,0.4679,-0.0359415,0.13774,0.424791;-211,2.72235,1.81178,-1.10155,1.70168;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,21.9755,13.4949,0.0993195,17.2769;111,14.1241,8.33467,-0.496562,11.3911;211,7.85142,5.16022,0.595881,5.88577;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,9.25813,-5.3231,0.00387775,-6.89571;211,4.15404,-3.13363,-1.19699,-2.44626;111,5.10409,-2.18947,1.20087,-4.44945;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,21.3681,-13.1021,0.510117,-16.6224;-211,5.40041,-3.57147,-1.05706,-3.90796;211,15.9676,-9.53061,1.56717,-12.7145;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,15.1447,-9.24688,0.331807,-11.7511;111,4.39045,-3.11509,-0.788662,-2.98866;-211,10.7543,-6.13179,1.12047,-8.76248;|
88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,6.04846,-5.69184,-1.08702,0.788909;-211,3.76593,-3.75109,0.00305162,0.303442;211,2.28253,-1.94075,-1.09007,0.485467;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,5.63405,-5.30929,-1.5767,0.648294;211,0.427463,-0.389808,0.0321919,0.101283;-211,5.20658,-4.91948,-1.60889,0.547011;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,33.6026,-21.5359,-25.372,3.83012;-211,31.2298,-19.5715,-24.0685,3.59823;111,2.37278,-1.96446,-1.30346,0.231893;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,2.11119,1.49856,1.23608,-0.211521;111,1.49443,1.03885,1.05741,0.133337;111,0.616765,0.459704,0.178679,-0.344858;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,0.949219,0.463112,0.235153,0.017373;111,0.580873,0.296688,0.39908,0.268153;111,0.368346,0.166424,-0.163927,-0.25078;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,5.62371,3.72671,2.87202,-0.412232;111,0.796778,0.227486,-0.44444,-0.606102;111,4.82693,3.49922,3.31646,0.19387;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,35.6759,26.1123,23.7713,-4.94369;111,23.9569,17.5609,16.0544,-2.78938;211,11.719,8.55133,7.71682,-2.15431;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,1.5549,0.736416,-0.0788373,0.282739;111,0.795481,0.167591,-0.0319027,0.765158;111,0.759415,0.568825,-0.0469346,-0.482419;|
88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,12.6991,11.9516,-0.284886,-4.1086;-211,0.982097,0.970695,-0.0431133,-0.0304417;111,11.717,10.9809,-0.241773,-4.07816;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,28.9005,26.2258,-7.57118,-9.23702;111,19.5251,17.4885,-4.85584,-7.19605;211,9.37543,8.73731,-2.71533,-2.04097;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,37.3275,-34.3418,6.64997,12.9665;111,21.315,-19.4137,3.70385,7.98128;111,16.0125,-14.9282,2.94612,4.98519;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,6.98999,-6.52324,1.24341,1.68824;-211,5.89384,-5.69119,1.15882,0.992623;111,1.09615,-0.832042,0.0845922,0.695619;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,0.839465,0.00456047,0.0127945,-0.263;111,0.379113,0.323556,0.144067,0.00802338;211,0.460352,-0.318995,-0.131272,-0.271023;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,4.44341,2.68302,-0.0501119,-1.04609;111,0.856705,-0.441668,0.210415,0.690203;111,3.58671,3.12469,-0.260526,-1.73629;|
88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,4.9642,0.415761,-3.49856,-3.32005;111,2.06249,0.692826,-1.41628,-1.3228;111,2.9017,-0.277065,-2.08228,-1.99726;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,38.7972,6.55773,32.152,20.3774;-211,23.7873,3.68524,18.8684,14.0078;211,15.0098,2.87249,13.2836,6.36954;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,1.93781,0.399844,0.149696,0.0801642;211,0.998369,0.674645,-0.533581,-0.487244;111,0.939443,-0.2748,0.683277,0.567408;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,5.79858,1.20503,4.19068,2.64203;111,3.54741,0.97412,3.36091,0.566843;-211,2.25116,0.230905,0.829776,2.07519;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,21.7652,-4.88787,-18.5757,-10.1628;211,14.0413,-3.65901,-11.7769,-6.71232;-211,7.72388,-1.22886,-6.79875,-3.45047;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,17.937,-3.6905,-14.4181,-9.61672;-211,13.5731,-2.66573,-10.3784,-8.33015;211,4.36395,-1.02477,-4.0397,-1.28657;|
88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,7.87481,1.93642,-0.440567,-6.85622;211,3.55624,-0.731678,-0.241129,-3.46899;111,4.31857,2.66809,-0.199439,-3.38722;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,43.1293,-11.6909,2.65987,41.3936;111,24.2449,-6.72613,2.31812,23.1772;211,18.8844,-4.96476,0.341755,18.2164;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,1.02148,-0.210831,0.0479676,0.746484;111,0.776481,-0.384227,0.0929706,0.654546;-211,0.244998,0.173396,-0.045003,0.0919383;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,30.3557,8.2309,-1.87267,-29.1429;-211,26.1672,7.20712,-1.34016,-25.119;211,4.18843,1.02378,-0.532512,-4.0239;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,1.32847,0.170103,-0.0387014,-0.602281;-211,0.876762,-0.0995283,0.203796,-0.83534;111,0.45171,0.269632,-0.242498,0.233059;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,4.23268,1.11801,-0.254367,-3.95852;-211,0.398609,-0.136681,-0.0478867,-0.344143;211,3.83407,1.2547,-0.20648,-3.61438;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,3.25757,0.44628,-0.101536,-1.58013;211,1.3622,-1.12563,-0.463904,-0.594864;-211,1.89537,1.57191,0.362368,-0.985266;|
88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,37.7884,4.41221,29.3248,-23.2722;-211,25.6428,3.60953,20.5257,-14.9399;111,12.1456,0.802676,8.79911,-8.33234;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,7.8522,0.345636,-3.79934,6.47129;211,4.08364,-0.661609,-2.65595,3.02734;-211,3.76857,1.00725,-1.14338,3.44395;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,9.14079,-1.16687,-6.76577,5.60826;211,3.49646,-0.922166,-1.87952,2.79692;-211,5.64433,-0.244705,-4.88625,2.81134;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,4.03178,2.12674,-0.979341,-2.7233;-211,3.04817,2.10275,-1.27549,-1.79541;111,0.983605,0.0239969,0.296144,-0.927892;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,2.88914,0.484097,1.44241,-1.86165;111,0.644196,-0.506588,0.319638,-0.194859;211,2.24494,0.990685,1.12277,-1.6668;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,9.77697,-2.63331,-6.43343,6.4984;211,0.297748,0.176618,0.0553915,0.186847;-211,9.47922,-2.80993,-6.48882,6.31156;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,14.9206,-3.20188,-12.3289,7.69968;111,9.09232,-1.47634,-7.62941,4.71854;211,5.82831,-1.72554,-4.69947,2.98113;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,2.12017,-0.0279486,-0.324979,0.420689;211,1.26064,-0.0259264,-0.12932,1.24593;-211,0.859528,-0.00202216,-0.195659,-0.825241;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,2.67994,-0.338676,-0.135506,1.15887;-211,0.846603,0.0338965,-0.613101,-0.565876;211,1.83334,-0.372573,0.477595,1.72474;|
88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,2.03421,-1.29679,0.311476,-0.847473;211,0.386507,0.192376,0.260582,-0.158102;-211,1.6477,-1.48917,0.0508937,-0.689371;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,22.8339,7.32882,-19.6615,8.26898;-211,11.7642,3.42995,-9.57363,5.91252;211,11.0698,3.89888,-10.0879,2.35646;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,10.6537,4.19918,-9.31687,2.63251;-211,7.80818,2.58874,-7.16381,1.71069;111,2.84555,1.61044,-2.15305,0.921821;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,6.96816,-2.07218,6.25991,-1.72443;-211,0.496172,0.150628,0.448646,0.0522906;111,6.47199,-2.2228,5.81127,-1.77672;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,3.58144,-2.73292,-0.172777,-0.731489;-211,1.14889,-0.55978,0.878445,-0.464157;111,2.43255,-2.17314,-1.05122,-0.267332;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,4.7023,-2.83326,1.87023,-1.13346;111,1.61915,0.180963,1.25071,-1.0032;211,3.08315,-3.01422,0.619518,-0.130256;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,7.74588,-1.81194,6.80349,-1.75126;111,3.41429,-0.923091,2.57591,-2.03759;111,4.33159,-0.888846,4.22758,0.286331;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,20.7095,-2.26986,20.1147,-4.3156;211,3.3644,-0.153079,3.27151,-0.757329;-211,17.3451,-2.11678,16.8431,-3.55828;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,2.65099,-1.79124,1.49716,-0.774208;211,0.428185,0.00287204,0.398907,-0.0687545;111,2.22281,-1.79411,1.09826,-0.705453;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,3.32775,0.992981,-2.31828,-0.572897;211,2.13384,0.750673,-1.46078,-1.35514;-211,1.19391,0.242307,-0.857501,0.782247;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,5.99207,2.2872,-5.38746,0.949332;211,5.5303,2.03116,-5.03727,1.03197;111,0.461777,0.256038,-0.350192,-0.0826367;|
88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,1.67742,0.0134078,0.284159,-1.09634;111,0.702144,-0.244663,0.604522,-0.222441;111,0.975272,0.258071,-0.320364,-0.873901;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,9.90861,2.99584,-1.60345,-9.16334;-211,2.80362,0.361573,0.0484664,-2.77628;111,7.10499,2.63427,-1.65191,-6.38706;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,33.9933,5.63743,-9.23419,-32.1873;-211,31.4905,5.5564,-8.36265,-29.8466;211,2.50283,0.0810271,-0.871536,-2.34063;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,35.1435,-6.37117,7.90321,33.5978;211,29.591,-5.8673,7.01716,28.1415;-211,5.55252,-0.503867,0.886052,5.45637;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,1.09756,-0.369472,0.351415,-0.00495131;111,0.6238,-0.158916,0.433396,-0.397268;211,0.473758,-0.210556,-0.0819804,0.392317;|88,0.0000,0.0000,0.0000,0.0000;88,0.0000,0.0000,0.0000,0.0000;81,9.3796,-1.90604,2.29885,8.85408;111,1.24775,-0.47417,0.222793,1.12436;111,8.13185,-1.43187,2.07605,7.72972;|
